"id","file","bytes"
"10122","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10122-17744-geronimo.zip","4779768"
"10123","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10123-18119-mursilis.zip","2536412"
"10125","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10125-19082-arnold.zip","5588038"
"10260","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10260-49393-venice_v3.rar","5485146"
"10314","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10314-27462-davis_v3.zip","3502285"
"10315","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10315-27217-pachacuti.zip","2976247"
"10316","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10316-27202-smokejaguar.zip","6472299"
"10317","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10317-27406-kingdavid.zip","3396232"
"10361","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10361-1418-amenhotepiii.7z","1390916"
"10365","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10365-94480-hitler_5.7z","985627"
"10537","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10537-88146-metternich.rar","6149915"
"10538","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10538-88306-lee.rar","2244066"
"10539","C:\DowagerMod\CoreFiles\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Assets\Art\Leaderheads\new\10539-88425-napoleoniii.rar","2785197"
