"id","resourceUrl","error"
"10034","https://forums.civfanatics.com/resources/10034/","No slug download URL found on resource page"
"10063","https://forums.civfanatics.com/resources/10063/","No slug download URL found on resource page"
"10091","https://forums.civfanatics.com/resources/10091/","No slug download URL found on resource page"
"12934","https://forums.civfanatics.com/resources/12934/","No attachment filename in headers on slug URL"
"13004","https://forums.civfanatics.com/resources/13004/","No attachment filename in headers on slug URL"
"13377","https://forums.civfanatics.com/resources/13377/","No slug download URL found on resource page"
"13421","https://forums.civfanatics.com/resources/13421/","No attachment filename in headers on slug URL"
"13509","https://forums.civfanatics.com/resources/13509/","No slug download URL found on resource page"
"13520","https://forums.civfanatics.com/resources/13520/","No slug download URL found on resource page"
"13566","https://forums.civfanatics.com/resources/13566/","No slug download URL found on resource page"
"13568","https://forums.civfanatics.com/resources/13568/","No slug download URL found on resource page"
"13627","https://forums.civfanatics.com/resources/13627/","No attachment filename in headers on slug URL"
"13777","https://forums.civfanatics.com/resources/13777/","No slug download URL found on resource page"
"13946","https://forums.civfanatics.com/resources/13946/","No slug download URL found on resource page"
"14003","https://forums.civfanatics.com/resources/14003/","No slug download URL found on resource page"
"14027","https://forums.civfanatics.com/resources/14027/","No attachment filename in headers on slug URL"
"14098","https://forums.civfanatics.com/resources/14098/","No attachment filename in headers on slug URL"
"14104","https://forums.civfanatics.com/resources/14104/","No attachment filename in headers on slug URL"
"14111","https://forums.civfanatics.com/resources/14111/","No slug download URL found on resource page"
"14113","https://forums.civfanatics.com/resources/14113/","No attachment filename in headers on slug URL"
"14144","https://forums.civfanatics.com/resources/14144/","No attachment filename in headers on slug URL"
"14145","https://forums.civfanatics.com/resources/14145/","No attachment filename in headers on slug URL"
"14218","https://forums.civfanatics.com/resources/14218/","No attachment filename in headers on slug URL"
"14221","https://forums.civfanatics.com/resources/14221/","No attachment filename in headers on slug URL"
"14645","https://forums.civfanatics.com/resources/14645/","No attachment filename in headers on slug URL"
"14803","https://forums.civfanatics.com/resources/14803/","No attachment filename in headers on slug URL"
"15076","https://forums.civfanatics.com/resources/15076/","No slug download URL found on resource page"
"15259","https://forums.civfanatics.com/resources/15259/","No slug download URL found on resource page"
"15260","https://forums.civfanatics.com/resources/15260/","No slug download URL found on resource page"
"15340","https://forums.civfanatics.com/resources/15340/","No slug download URL found on resource page"
"15509","https://forums.civfanatics.com/resources/15509/","No slug download URL found on resource page"
"15701","https://forums.civfanatics.com/resources/15701/","No attachment filename in headers on slug URL"
"16216","https://forums.civfanatics.com/resources/16216/","No attachment filename in headers on slug URL"
"166","https://forums.civfanatics.com/resources/166/","No attachment filename in headers on slug URL"
"16641","https://forums.civfanatics.com/resources/16641/","No attachment filename in headers on slug URL"
"16851","https://forums.civfanatics.com/resources/16851/","No slug download URL found on resource page"
"16897","https://forums.civfanatics.com/resources/16897/","No slug download URL found on resource page"
"17323","https://forums.civfanatics.com/resources/17323/","No slug download URL found on resource page"
"17330","https://forums.civfanatics.com/resources/17330/","No slug download URL found on resource page"
"193","https://forums.civfanatics.com/resources/193/","No attachment filename in headers on slug URL"
"3679","https://forums.civfanatics.com/resources/3679/","No attachment filename in headers on slug URL"
"4659","https://forums.civfanatics.com/resources/4659/","No attachment filename in headers on slug URL"
"7333","https://forums.civfanatics.com/resources/7333/","No attachment filename in headers on slug URL"
"7834","https://forums.civfanatics.com/resources/7834/","No slug download URL found on resource page"
"8846","https://forums.civfanatics.com/resources/8846/","No attachment filename in headers on slug URL"
"9566","https://forums.civfanatics.com/resources/9566/","No attachment filename in headers on slug URL"
