Mobile SAM Fort,332,AS3D_UN_ARTILLERY_FORT
Mobile SAM Fort,340,AS3D_UN_TANK_HEAL_LOW
Mobile SAM Fort,340,AS3D_UN_TANK_FORT
,,
Mobile SAM Heal,700,AS3D_UN_TANK_HEAL
,700,AS3D_UN_ARTILLERY_FORT
,,
Mobile SAM Hurt A,541,AS3D_UN_TANK_HIT_SHORT
Mobile SAM Hurt A,541,AS3D_UN_ARTILLERY_FORT
,,
Mobile SAM Ranged Die A,590,AS3D_UN_TANK_HIT
Mobile SAM Ranged Die A,590,AS3D_UN_EXPLOSION_LOW
Mobile SAM Ranged Die A,600,AS3D_UN_TANK_DROP
Mobile SAM Ranged Die A,600,AS3D_UN_ARTILLERY_FORT
,,
Mobile SAM Ranged Strike,498,AS3D_UN_SAM_MISSLE
Mobile SAM Ranged Strike,505,AS3D_UN_TANK_HIT_SHORT
Mobile SAM Ranged Strike,505,AS3D_UN_TANK_DROP
